"Site";"Part No";"Part Description";"Configuration ID";"Location No";"Lot/Batch No";"Serial No";"On Hand Qty";"Reserved Qty";"Warehouse";"Activity ID";"Project ID";"Sub Project ID";"Activity Sequence";"Bay";"Row";"Tier";"Bin";"Condition Code";"Condition Code Description";"Rev No";"W/D/R No";"Rotable Part Pool ID";"On Hand Catch Qty";"Unified On Hand Qty";"Unified Catch On Hand Qty";"Unified Reserved Qty";"In Transit Qty";"Catch Qty in Transit";"Unified Qty in Transit";"Unified Catch Qty in Transit";"Available Qty";"UoM";"Catch UoM";"Unified UoM";"Unified Catch UoM";"Frozen";"Last Activity Date";"Latest Count";"Location Type";"Receipt Date";"Availability Control ID";"Availability Control Description";"Avg Unit Transit Cost";"Count Variance";"Expiration Date";"Unit Cost";"Total Inventory Value";"Base Curr";"Ownership";"Owner";"Owner Name";"Part Acquisition Value";"Total Acquisition Value";"Acquisition Currency";"Program ID";"Program Description";"Project Name";"Sub Project Description";"Activity Description";"Remote"
"SE";"16100202";"Bumper";"*";"HQ-F-02-01";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"02";"01";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"24.01.2023 11:11:24";"";"Picking";"24.01.2023 11:10:34";"";"";"0";"0";"";"4812.00";"9624.00";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16101715";"Seaonics name plate";"*";"HQ-F-01-05";"*";"*";"2";"0";"HQ";"26";"101856";"17151AB1";"101288709";"F";"01";"05";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"19.01.2023 09:02:36";"19.01.2023";"Picking";"19.11.2021 14:46:46";"";"";"0";"0";"";"16.00";"31.99";"NOK";"Company Owned";"";"";"";"";"";"";"";"Top-side, NB936 VARD VUNG TAU,";"Cursor umbilical sheave, 2 off dwg, 2145543";"Purchasing (material)";"FALSE"
"SE";"16101715";"Seaonics name plate";"*";"HQ-F-01-05";"*";"*";"2";"0";"HQ";"26";"101856";"17151AB4";"101288711";"F";"01";"05";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"19.01.2023 09:02:37";"19.01.2023";"Picking";"19.11.2021 14:46:46";"";"";"0";"0";"";"16.00";"31.99";"NOK";"Company Owned";"";"";"";"";"";"";"";"Top-side, NB936 VARD VUNG TAU,";"UHD Umbilical Sheave D/d Ø1600/Ø44, SWL 38,5T, Floats Ø260, 2 off";"Purchasing (material)";"FALSE"
"SE";"16101718";"Wear-sleeve";"*";"HQ-F-01-03";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"01";"03";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"19.01.2023 09:02:33";"19.01.2023";"Picking";"11.07.2019 10:43:08";"";"";"0";"0";"";"1022.29";"2044.58";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103008";"Swivel nut elbow - EW22LOMDCF";"*";"HQ-F-02-04";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"02";"04";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"16.01.2023 11:25:46";"16.01.2023";"Picking";"01.11.2021 09:54:13";"";"";"0";"0";"";"41.98";"83.97";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103016";"Swivel nut elbow - EW25SOMDCF";"*";"HQ-F-02-04";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"02";"04";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"16.01.2023 11:25:46";"16.01.2023";"Picking";"07.01.2021 10:02:47";"";"";"0";"0";"";"95.62";"191.24";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103199";"Swivel connector - EGE25SREDCF";"*";"HQ-F-02-04";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"02";"04";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"16.01.2023 11:25:46";"16.01.2023";"Picking";"07.01.2021 10:15:31";"";"";"0";"0";"";"73.36";"146.72";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103274";"Blanking plug for ports - VSTI3/8EDCF";"*";"HQ-F-01-04";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"01";"04";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"19.01.2023 09:02:35";"19.01.2023";"Picking";"03.06.2021 15:29:29";"";"";"0";"0";"";"7.67";"15.34";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103277";"Blanking plug for ports - VSTI1EDCF";"*";"HQ-F-02-04";"*";"*";"2";"2";"HQ";"";"";"";"0";"F";"02";"04";"  -";"";"";"1";"*";"";"";"2";"";"2";"0";"";"0";"";"0";"Each";"";"Each";"";"N";"16.01.2023 11:25:46";"16.01.2023";"Picking";"10.08.2022 10:13:21";"";"";"0";"0";"";"18.53";"37.06";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
"SE";"16103286";"Blanking plug for cone - VKAM42LCF";"*";"HQ-F-02-04";"*";"*";"2";"0";"HQ";"";"";"";"0";"F";"02";"04";"  -";"";"";"1";"*";"";"";"2";"";"0";"0";"";"0";"";"2";"Each";"";"Each";"";"N";"16.01.2023 11:25:46";"16.01.2023";"Picking";"07.01.2021 10:10:36";"";"";"0";"0";"";"80.26";"160.53";"NOK";"Company Owned";"";"";"";"";"";"";"";"";"";"";"FALSE"
